R,b,Fij
5.201005025125628,26.683417085427138,0.21901027980983037
5.201005025125628,26.90954773869347,0.21877924973088794
5.201005025125628,27.1356783919598,0.2185334989638868
5.201005025125628,27.36180904522613,0.21827283216621632
5.201005025125628,27.587939698492463,0.21799704316065213
5.201005025125628,27.814070351758794,0.21770591496880323
5.201005025125628,28.040201005025125,0.21739921985539862
5.201005025125628,28.26633165829146,0.21707671938429926
5.201005025125628,28.49246231155779,0.21673816448816352
5.201005025125628,28.718592964824122,0.21638329555314828
5.201005025125628,28.944723618090453,0.2160118425205857
5.201005025125628,29.170854271356784,0.21562352500769086
5.201005025125628,29.396984924623116,0.21521805244872041
5.201005025125628,29.623115577889447,0.21479512425937983
5.201005025125628,29.84924623115578,0.21435443002611534
5.201005025125628,30.075376884422113,0.213895649722828
5.201005025125628,30.301507537688444,0.2134184539575937
5.201005025125628,30.527638190954775,0.2129225042515359
5.201005025125628,30.753768844221106,0.2124074533526719
5.201005025125628,30.979899497487438,0.21187294558761705
5.201005025125628,31.20603015075377,0.2113186172534867
5.201005025125628,31.4321608040201,0.21074409705342043
5.201005025125628,31.658291457286435,0.21014900657803792
5.201005025125628,31.884422110552766,0.20953296083653142
5.201005025125628,32.11055276381909,0.20889556883988208
5.201005025125628,32.336683417085425,0.20823643423930857
5.201005025125628,32.56281407035176,0.20755515602333718
5.201005025125628,32.788944723618094,0.20685132927622105
5.201005025125628,33.015075376884425,0.20612454600067712
5.201005025125628,33.24120603015076,0.205374396007954
5.201005025125628,33.46733668341709,0.20460046787798908
5.201005025125628,33.69346733668342,0.2038023499922705
5.201005025125628,33.91959798994975,0.2029796316416782
5.201005025125628,34.14572864321608,0.20213190421181856
5.201005025125628,34.37185929648241,0.20125876244733323
5.201005025125628,34.597989949748744,0.20035980579725615
5.201005025125628,34.824120603015075,0.19943463984199478
5.201005025125628,35.050251256281406,0.19848287780330465
5.201005025125628,35.27638190954774,0.19750414213680934
5.201005025125628,35.50251256281407,0.19649806620728466
5.201005025125628,35.7286432160804,0.1954642960452155
5.201005025125628,35.95477386934674,0.19440249218325759
5.201005025125628,36.18090452261307,0.19331233156977992
5.201005025125628,36.4070351758794,0.192193509556488
5.201005025125628,36.63316582914573,0.19104574195558652
5.201005025125628,36.85929648241206,0.1898687671612099
5.201005025125628,37.085427135678394,0.18866234832925455
5.201005025125628,37.311557788944725,0.18742627560781963
5.201005025125628,37.537688442211056,0.18616036840993047
5.201005025125628,37.76381909547739,0.18486447771901995
5.201005025125628,37.98994974874372,0.18353848841623652
5.201005025125628,38.21608040201005,0.18218232161731454
5.201005025125628,38.44221105527638,0.18079593700640456
5.201005025125628,38.66834170854271,0.17937933515159513
5.201005025125628,38.89447236180904,0.17793255978731876
5.201005025125628,39.120603015075375,0.17645570004650507
5.201005025125628,39.34673366834171,0.17494889262503205
5.201005025125628,39.572864321608044,0.1734123238599563
5.201005025125628,39.798994974874375,0.17184623170200625
5.201005025125628,40.02512562814071,0.17025090756265118
5.201005025125628,40.25125628140704,0.16862669801483307
5.201005025125628,40.47738693467337,0.16697400632767465
5.201005025125628,40.7035175879397,0.16529329381306032
5.201005025125628,40.92964824120603,0.16358508096497068
5.201005025125628,41.15577889447236,0.16184994837090222
5.201005025125628,41.381909547738694,0.16008853737602166
5.201005025125628,41.608040201005025,0.15830155048228267
5.201005025125628,41.834170854271356,0.15648975146543848
5.201005025125628,42.06030150753769,0.15465396519469657
5.201005025125628,42.28643216080402,0.15279507714192592
5.201005025125628,42.51256281407035,0.15091403256946406
5.201005025125628,42.73869346733669,0.14901183538762205
5.201005025125628,42.96482412060302,0.1470895466768003
5.201005025125628,43.19095477386935,0.14514828287095766
5.201005025125628,43.41708542713568,0.14318921360319742
5.201005025125628,43.64321608040201,0.14121355921717532
5.201005025125628,43.869346733668344,0.1392225879515117
5.201005025125628,44.095477386934675,0.13721761280810224
5.201005025125628,44.321608040201006,0.13519998811842343
5.201005025125628,44.54773869346734,0.133171105825605
5.201005025125628,44.77386934673367,0.1311323915031862
5.201005025125628,45.0,0.12908530013461122
5.402010050251256,0.0,0.1256070268523766
5.402010050251256,0.22613065326633167,0.12777630652600952
5.402010050251256,0.45226130653266333,0.12994305820750482
5.402010050251256,0.678391959798995,0.1321056447829339
5.402010050251256,0.9045226130653267,0.13426244102849005
5.402010050251256,1.1306532663316584,0.13641183896393752
5.402010050251256,1.35678391959799,0.1385522530745078
5.402010050251256,1.5829145728643217,0.1406821253631542
5.402010050251256,1.8090452261306533,0.14279993019754614
5.402010050251256,2.035175879396985,0.1449041789186876
5.402010050251256,2.261306532663317,0.1469934241808809
5.402010050251256,2.4874371859296485,0.1490662639969015
5.402010050251256,2.71356783919598,0.1511213454642468
5.402010050251256,2.9396984924623117,0.15315736815402156
5.402010050251256,3.1658291457286434,0.15517308714674935
5.402010050251256,3.391959798994975,0.15716731570341597
5.402010050251256,3.6180904522613067,0.15913892756466222
5.402010050251256,3.8442211055276383,0.16108685887423013
5.402010050251256,4.07035175879397,0.1630101097272066
5.402010050251256,4.296482412060302,0.16490774534640706
5.402010050251256,4.522613065326634,0.16677889689441167
5.402010050251256,4.748743718592965,0.16862276193112574
5.402010050251256,4.974874371859297,0.17043860453024615
5.402010050251256,5.201005025125628,0.1722257550697054
5.402010050251256,5.42713567839196,0.1739836097139173
5.402010050251256,5.653266331658291,0.17571162960710116
