h,k,d,F
7.142857142857146,-50.0,20,9.429262952703198e-07
7.142857142857146,-50.0,25,1.0228993987089942e-06
7.142857142857146,-50.0,30,1.0555492792787082e-06
7.142857142857146,-50.0,35,1.0575591524431317e-06
7.142857142857146,-50.0,40,1.0398343340239124e-06
7.142857142857146,-50.0,45,1.0096011481121317e-06
7.142857142857146,-50.0,50,9.71725249417121e-07
7.142857142857146,-50.0,55,9.295183553079036e-07
7.142857142857146,-50.0,60,8.85244202736018e-07
7.142857142857146,-50.0,65,8.404462846108223e-07
7.142857142857146,-50.0,70,7.961663498100436e-07
7.142857142857146,-50.0,75,7.530934964812439e-07
7.142857142857146,-50.0,80,7.11667759388835e-07
9.183673469387756,-50.0,10,5.356787333154749e-07
9.183673469387756,-50.0,15,7.886522481546843e-07
9.183673469387756,-50.0,20,9.398294632615897e-07
9.183673469387756,-50.0,25,1.018875058758352e-06
9.183673469387756,-50.0,30,1.0508395130476113e-06
9.183673469387756,-50.0,35,1.052435276567792e-06
9.183673469387756,-50.0,40,1.0345450195111822e-06
9.183673469387756,-50.0,45,1.0043466971032213e-06
9.183673469387756,-50.0,50,9.666512663325405e-07
9.183673469387756,-50.0,55,9.247205015547479e-07
9.183673469387756,-50.0,60,8.807776149024083e-07
9.183673469387756,-50.0,65,8.363357648712368e-07
9.183673469387756,-50.0,70,7.924154256821924e-07
9.183673469387756,-50.0,75,7.496916848047399e-07
9.183673469387756,-50.0,80,7.085960161544236e-07
11.224489795918366,-50.0,10,5.343632495573529e-07
11.224489795918366,-50.0,15,7.86030977733951e-07
11.224489795918366,-50.0,20,9.35856793816578e-07
11.224489795918366,-50.0,25,1.0137410012751215e-06
11.224489795918366,-50.0,30,1.044861767797399e-06
11.224489795918366,-50.0,35,1.0459609603893606e-06
11.224489795918366,-50.0,40,1.0278864985373925e-06
11.224489795918366,-50.0,45,9.977518202170337e-07
11.224489795918366,-50.0,50,9.60297761515969e-07
11.224489795918366,-50.0,55,9.18723467693511e-07
11.224489795918366,-50.0,60,8.75202084363559e-07
11.224489795918366,-50.0,65,8.312097093253743e-07
11.224489795918366,-50.0,70,7.87741063928114e-07
11.224489795918366,-50.0,75,7.454544253430956e-07
11.224489795918366,-50.0,80,7.047711038586817e-07
13.265306122448983,-50.0,10,5.327132379047702e-07
13.265306122448983,-50.0,15,7.82762587057208e-07
13.265306122448983,-50.0,20,9.309370716664008e-07
13.265306122448983,-50.0,25,1.0074265212077603e-06
